Ref,Type,Package,PosX,PosY,Rot,Side
J1,Conn_01x10_MountingPin,PinHeader_1x10_P2.54mm_Vertical,172.845,-67.07,180,bottom
J2,Conn_01x08_MountingPin,PinHeader_1x08_P2.54mm_Vertical,172.845,-93.994,180,bottom
J3,Conn_01x08_MountingPin,PinHeader_1x08_P2.54mm_Vertical,124.5,-76.214,180,bottom
C1,10uF,C_0805_2012Metric,153.5375,-93.4225,180,top
C2,10uF,C_0805_2012Metric,147.6375,-93.4225,180,top
C3,0.1uF,C_0805_2012Metric,142.1375,-93.4225,180,top
J4,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,129,-99.5,0,top
Q1,BSS138,SOT-23,143.0875,-88.46,-90,top
Q2,BSS138,SOT-23,156.525,-82.91,0,top
R1,100k,R_0805_2012Metric,155.5875,-77.46,180,top
R2,100k,R_0805_2012Metric,155.5875,-73.96,180,top
R3,1k,R_0805_2012Metric,135.5875,-106.5,0,top
R4,1k,R_0805_2012Metric,135.5875,-103.5,0,top
R5,1k,R_0805_2012Metric,135.5875,-100.5,180,top
R7,4.7k,R_0805_2012Metric,155.5875,-70.5475,180,top
R8,4.7k,R_0805_2012Metric,150,-70.46,0,top
R9,10k,R_0805_2012Metric,152.0875,-82.8725,-90,top
R10,10k,R_0805_2012Metric,143.4425,-83.7475,0,top
R11,10k,R_0805_2012Metric,151.4125,-88,0,top
R12,10k,R_0805_2012Metric,157,-88.4125,-90,top
R13,100k,R_0805_2012Metric,145.5875,-74.5,180,top
U1,RV-8803-C7-TA-QC,IC_RV-8803-C7-TA-QC,151.5125,-74.01,0,top
U2,AP2112K-3.3,SOT-23-5,147.3625,-98.95,180,top
U3,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,147.5875,-82.9225,0,top
